points,value,error
467, 0.5375, 0.0140
468, 0.4850, -0.0385
469, 0.5096, -0.0139
470, 0.5340, 0.0105
471, 0.5372, 0.0137
472, 0.5106, -0.0129
473, 0.5391, 0.0156
474, 0.4958, -0.0277
475, 0.5326, 0.0091
476, 0.5168, -0.0067
477, 0.5241, 0.0006
478, 0.5377, 0.0142
479, 0.5219, -0.0016
480, 0.5271, 0.0036
481, 0.5198, -0.0037
482, 0.5124, -0.0111
483, 0.5321, 0.0086
484, 0.5124, -0.0111
485, 0.5072, -0.0163
486, 0.5247, 0.0012
487, 0.5154, -0.0081
488, 0.5266, 0.0031
489, 0.5746, 0.0511
490, 0.5245, 0.0010
491, 0.4969, -0.0266
492, 0.5447, 0.0212
493, 0.5132, -0.0103
494, 0.5061, -0.0174
495, 0.5414, 0.0179
496, 0.5706, 0.0471
497, 0.5272, 0.0037
498, 0.5281, 0.0046
499, 0.5110, -0.0125
500, 0.5080, -0.0155
501, 0.5269, 0.0034
502, 0.5319, 0.0084
503, 0.4911, -0.0324
504, 0.5635, 0.0400
505, 0.5208, -0.0027
506, 0.5178, -0.0057
507, 0.5010, -0.0225
508, 0.4705, -0.0530
509, 0.5383, 0.0148
510, 0.5490, 0.0255
511, 0.5245, 0.0010
512, 0.4941, -0.0294
513, 0.5185, -0.0050
514, 0.5331, 0.0096
515, 0.4835, -0.0400
516, 0.5019, -0.0216
517, 0.5145, -0.0090
518, 0.4961, -0.0274
519, 0.5318, 0.0083
520, 0.5038, -0.0197
521, 0.5010, -0.0225
522, 0.5115, -0.0120
523, 0.5277, 0.0042
524, 0.5153, -0.0082
525, 0.5162, -0.0073
526, 0.5456, 0.0221
527, 0.5522, 0.0287
528, 0.5057, -0.0178
529, 0.4839, -0.0396
530, 0.5717, 0.0482
531, 0.5556, 0.0321
532, 0.5470, 0.0235
533, 0.5253, 0.0018
534, 0.5318, 0.0083
535, 0.5346, 0.0111
536, 0.5261, 0.0026
537, 0.5866, 0.0631
538, 0.5446, 0.0211
539, 0.5622, 0.0387
540, 0.5074, -0.0161
541, 0.5157, -0.0078
542, 0.5074, -0.0161
543, 0.4972, -0.0263
544, 0.5570, 0.0335
545, 0.5266, 0.0031
546, 0.5000, -0.0235
547, 0.4954, -0.0281
548, 0.5255, 0.0020
549, 0.5027, -0.0208
550, 0.4982, -0.0253
551, 0.4864, -0.0371
552, 0.5217, -0.0018
553, 0.5298, 0.0063
554, 0.5181, -0.0054
555, 0.5135, -0.0100
556, 0.5198, -0.0037
557, 0.5242, 0.0007
558, 0.5233, -0.0002
559, 0.5027, -0.0208
560, 0.5571, 0.0336
561, 0.5080, -0.0155
562, 0.5338, 0.0103
563, 0.5453, 0.0218
564, 0.5390, 0.0155
565, 0.5522, 0.0287
566, 0.5265, 0.0030
567, 0.5044, -0.0191
568, 0.5246, 0.0011
569, 0.5220, -0.0015
