points, %, error
477, 0.5408805031446541, 0.02088050314465406
478, 0.49581589958158995, -0.02418410041841007
479, 0.5490605427974948, 0.029060542797494815
480, 0.5229166666666667, 0.0029166666666666785
481, 0.5446985446985447, 0.02469854469854471
482, 0.520746887966805, 0.0007468879668049988
483, 0.4865424430641822, -0.03345755693581781
484, 0.493801652892562, -0.026198347107438014
485, 0.5092783505154639, -0.010721649484536133
486, 0.5185185185185185, -0.001481481481481528
487, 0.5297741273100616, 0.009774127310061553
488, 0.5040983606557377, -0.015901639344262364
489, 0.5132924335378323, -0.006707566462167747
490, 0.5346938775510204, 0.014693877551020362
491, 0.515274949083503, -0.004725050916496998
492, 0.5447154471544715, 0.024715447154471493
493, 0.5233265720081136, 0.003326572008113593
494, 0.5445344129554656, 0.024534412955465545
495, 0.4686868686868687, -0.05131313131313131
496, 0.5100806451612904, -0.009919354838709649
497, 0.49295774647887325, -0.02704225352112677
498, 0.5140562248995983, -0.0059437751004016715
499, 0.561122244488978, 0.041122244488977944
500, 0.542, 0.02200000000000002
501, 0.5029940119760479, -0.017005988023952145
502, 0.5219123505976095, 0.0019123505976095245
503, 0.5089463220675944, -0.011053677932405637
504, 0.5059523809523809, -0.014047619047619087
505, 0.48514851485148514, -0.03485148514851488
506, 0.5197628458498024, -0.0002371541501976493
507, 0.5364891518737672, 0.016489151873767205
508, 0.4881889763779528, -0.03181102362204724
509, 0.5520628683693517, 0.03206286836935168
510, 0.5, -0.020000000000000018
511, 0.4931506849315068, -0.026849315068493196
512, 0.51953125, -0.00046875000000001776
513, 0.5224171539961013, 0.0024171539961013178
514, 0.5136186770428015, -0.00638132295719851
515, 0.512621359223301, -0.00737864077669903
516, 0.5581395348837209, 0.038139534883720905
517, 0.5377176015473888, 0.017717601547388773
518, 0.525096525096525, 0.005096525096525029
519, 0.5221579961464354, 0.0021579961464354147
520, 0.5230769230769231, 0.003076923076923088
521, 0.5067178502879078, -0.013282149712092184
522, 0.5440613026819924, 0.024061302681992358
523, 0.49904397705544934, -0.02095602294455068
524, 0.5400763358778626, 0.020076335877862617
525, 0.5485714285714286, 0.02857142857142858
526, 0.55893536121673, 0.038935361216730024
527, 0.5066413662239089, -0.013358633776091144
528, 0.5303030303030303, 0.010303030303030258
529, 0.502835538752363, -0.01716446124763704
530, 0.5, -0.020000000000000018
531, 0.5141242937853108, -0.005875706214689247
532, 0.5263157894736842, 0.0063157894736841635
533, 0.47654784240150094, -0.043452157598499075
534, 0.5411985018726592, 0.021198501872659148
535, 0.48598130841121495, -0.034018691588785066
536, 0.5261194029850746, 0.006119402985074629
537, 0.5363128491620112, 0.016312849162011145
538, 0.5390334572490706, 0.019033457249070573
539, 0.5027829313543599, -0.0172170686456401
540, 0.49074074074074076, -0.029259259259259263
541, 0.5212569316081331, 0.001256931608133116
542, 0.4907749077490775, -0.029225092250922513
543, 0.5009208103130756, -0.019079189686924458
544, 0.5606617647058824, 0.04066176470588234
545, 0.5192660550458715, -0.0007339449541284848
546, 0.5293040293040293, 0.009304029304029293
547, 0.5283363802559415, 0.008336380255941522
548, 0.5638686131386861, 0.04386861313868606
549, 0.5391621129326047, 0.019162112932604725
550, 0.5218181818181818, 0.0018181818181818299
551, 0.49909255898366606, -0.02090744101633396
552, 0.5235507246376812, 0.0035507246376811352
553, 0.5189873417721519, -0.0010126582278481289
554, 0.5397111913357401, 0.019711191335740064
555, 0.5027027027027027, -0.017297297297297343
556, 0.512589928057554, -0.007410071942446028
557, 0.49730700179533216, -0.022692998204667858
558, 0.521505376344086, 0.0015053763440859846
559, 0.5080500894454383, -0.011949910554561738
560, 0.4875, -0.03250000000000003
561, 0.48484848484848486, -0.035151515151515156
562, 0.5088967971530249, -0.01110320284697508
563, 0.5364120781527532, 0.01641207815275314
564, 0.5053191489361702, -0.01468085106382977
565, 0.5008849557522124, -0.01911504424778765
566, 0.49469964664310956, -0.02530035335689046
567, 0.48148148148148145, -0.03851851851851856
568, 0.5264084507042254, 0.006408450704225355
569, 0.5131810193321616, -0.00681898066783837
570, 0.5350877192982456, 0.015087719298245594
571, 0.5411558669001751, 0.021155866900175124
572, 0.5034965034965035, -0.016503496503496473
573, 0.5497382198952879, 0.02973821989528791
574, 0.5313588850174216, 0.01135888501742155
575, 0.5269565217391304, 0.006956521739130417
576, 0.5052083333333334, -0.014791666666666647
577, 0.5043327556325823, -0.015667244367417732
578, 0.5069204152249135, -0.013079584775086528
579, 0.49740932642487046, -0.02259067357512956
580, 0.4879310344827586, -0.03206896551724142
581, 0.5146299483648882, -0.005370051635111839
582, 0.5309278350515464, 0.010927835051546375
583, 0.5111492281303602, -0.008850771869639784
584, 0.511986301369863, -0.008013698630137012
585, 0.5111111111111111, -0.008888888888888946
586, 0.5290102389078498, 0.009010238907849799
