points,value,error
1315, 0.53003802, 0.0065380200
1316, 0.51747720, -0.0060228000
1317, 0.51252847, -0.010971530
1318, 0.53414264, 0.010642640
1319, 0.50871873, -0.014781270
1320, 0.56439394, 0.040893940
1321, 0.51324754, -0.010252460
1322, 0.51739788, -0.0061021200
1323, 0.54270597, 0.019205970
1324, 0.53474320, 0.011243200
1325, 0.51924528, -0.0042547200
1326, 0.48567119, -0.037828810
1327, 0.52373775, 0.00023775000
1328, 0.55195783, 0.028457830
1329, 0.52069225, -0.0028077500
1330, 0.50827068, -0.015229320
1331, 0.51239669, -0.011103310
1332, 0.51051051, -0.012989490
1333, 0.51387847, -0.0096215300
1334, 0.51724138, -0.0062586200
1335, 0.53108614, 0.0075861400
1336, 0.52769461, 0.0041946100
1337, 0.51009723, -0.013402770
1338, 0.50822123, -0.015278770
1339, 0.50261389, -0.020886110
1340, 0.51641791, -0.0070820900
1341, 0.49440716, -0.029092840
1342, 0.53651267, 0.013012670
1343, 0.48920328, -0.034296720
1344, 0.51190476, -0.011595240
1345, 0.53159851, 0.0080985100
1346, 0.52971768, 0.0062176800
1347, 0.51076466, -0.012735340
1348, 0.51854599, -0.0049540100
1349, 0.52260934, -0.00089066000
1350, 0.51703704, -0.0064629600
1351, 0.51887491, -0.0046250900
1352, 0.53032544, 0.0068254400
1353, 0.50628234, -0.017217660
1354, 0.52658789, 0.0030878900
1355, 0.53726937, 0.013769370
1356, 0.53834808, 0.014848080
1357, 0.54605748, 0.022557480
1358, 0.52871870, 0.0052187000
1359, 0.52538631, 0.0018863100
1360, 0.50147059, -0.022029410
1361, 0.52094048, -0.0025595200
1362, 0.51688693, -0.0066130700
1363, 0.52824652, 0.0047465200
1364, 0.53299120, 0.0094912000
1365, 0.51721612, -0.0062838800
1366, 0.54978038, 0.026280380
1367, 0.52816386, 0.0046638600
1368, 0.53289474, 0.0093947400
1369, 0.52885318, 0.0053531800
1370, 0.53211679, 0.0086167900
1371, 0.53756382, 0.014063820
1372, 0.55758017, 0.034080170
1373, 0.53095412, 0.0074541200
1374, 0.52037846, -0.0031215400
1375, 0.51127273, -0.012227270
1376, 0.53343023, 0.0099302300
1377, 0.52069717, -0.0028028300
1378, 0.49129173, -0.032208270
1379, 0.53226976, 0.0087697600
1380, 0.53405797, 0.010557970
1381, 0.53005069, 0.0065506900
1382, 0.54775687, 0.024256870
1383, 0.52133044, -0.0021695600
1384, 0.53106936, 0.0075693600
1385, 0.52418773, 0.00068773000
1386, 0.53391053, 0.010410530
1387, 0.52487383, 0.0013738300
1388, 0.51729107, -0.0062089300
1389, 0.52627790, 0.0027779000
1390, 0.52805755, 0.0045575500
1391, 0.52839684, 0.0048968400
1392, 0.51795977, -0.0055402300
1393, 0.51112706, -0.012372940
1394, 0.52080344, -0.0026965600
1395, 0.52401434, 0.00051434000
1396, 0.54083095, 0.017330950
1397, 0.51968504, -0.0038149600
1398, 0.49928469, -0.024215310
1399, 0.54610436, 0.022604360
1400, 0.53, 0.0065000000
1401, 0.53247680, 0.0089768000
1402, 0.53067047, 0.0071704700
1403, 0.52245189, -0.0010481100
1404, 0.52492877, 0.0014287700
1405, 0.53309609, 0.0095960900
1406, 0.51920341, -0.0042965900
1407, 0.52807392, 0.0045739200
1408, 0.49928977, -0.024210230
1409, 0.51312988, -0.010370120
1410, 0.52056738, -0.0029326200
1411, 0.52019844, -0.0033015600
1412, 0.50637394, -0.017126060
1413, 0.53644728, 0.012947280
1414, 0.50565771, -0.017842290
1415, 0.50742049, -0.016079510
1416, 0.52189266, -0.0016073400
1417, 0.53634439, 0.012844390
1418, 0.52679831, 0.0032983100
1419, 0.53770261, 0.014202610
1420, 0.53098592, 0.0074859200
1421, 0.49683322, -0.026666780
1422, 0.53516174, 0.011661740
1423, 0.50597330, -0.017526700
1424, 0.50842697, -0.015073030
1425, 0.51298246, -0.010517540
1426, 0.51683029, -0.0066697100
